Startpoint 0;55;0; 0;0;0;
Building 0;0;0; 1;1;1; 0;0;0;
Building 400;0;200; 1;1;1; 0;0;0;
Building 350;0;0; 1;.75;1; 0;0;0;
Building 490;0;50; 1;.5;1; 0;0;0;
Building 200;0;0; 1;1;1; 0;0;0;
Building 200;0;200; 1;1;1; 0;0;0;
Bridge 250;44.5;200; 3;.1;.5; 0;0;0;
Bridge 100;44.5;0 5;.1;.5; 0;0;0;
Bridge 200;44.5;100; 5;.1;.5; 0;90;0;
Obstacle 200;50;0; .25;.25;.25 0;180;0;
Obstacle 180;50;190; .25;.25;.25 0;60;0;
Obstacle 220;50;210; .25;.25;.25 0;90;0;
Obstacle 445;25;10; .3;.3;.3 0;180;0;
Ramp 250;45;0; .25;.2;.25; 0;0;0;
Endbox 480;25;50; 3;3;3; 0;0;0;
